Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code
2015,Non-corporate business enterprises,121,Capital Account Closing balances Total non-financial assets,LE00000,AN00000
2015,Non-corporate business enterprises,121,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000
2015,Non-corporate business enterprises,121,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000
2015,Non-corporate business enterprises,121,Closing balance net worth,LE00000,B900000
2015,Non-corporate business enterprises,121,Closing balance total liabilities and net worth,LE00000,L000000
2015,Corporate business enterprises,141,Closing balance total assets,LE00000,A000000
2015,Corporate business enterprises,141,Financial assets Closing balance Total financial assets,LE00000,AFA0000
2015,Corporate business enterprises,141,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100
2015,Corporate business enterprises,141,Financial assets Closing balance currency and deposits,LE00000,AFA0200
2015,Corporate business enterprises,141,Financial assets Closing balance debt securities,LE00000,AFA0300
2015,Corporate business enterprises,141,Financial assets Closing balance loans,LE00000,AFA0400
2015,Corporate business enterprises,141,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500
2015,Corporate business enterprises,141,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600
2015,Corporate business enterprises,141,Financial assets Closing balance financial derivatives,LE00000,AFA0700
2015,Corporate business enterprises,141,Financial assets Closing balance other accounts receivable,LE00000,AFA0800
2015,Corporate business enterprises,141,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000
2015,Corporate business enterprises,141,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100
2015,Corporate business enterprises,141,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200
2015,Corporate business enterprises,141,Financial liabilities Closing balance debt securities,LE00000,AFL0300
2015,Corporate business enterprises,141,Financial liabilities Closing balance loans,LE00000,AFL0400
2015,Corporate business enterprises,141,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500
2015,Corporate business enterprises,141,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600
2015,Corporate business enterprises,141,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700
2015,Corporate business enterprises,141,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800
2015,Corporate business enterprises,141,Capital Account Closing balances Total non-financial assets,LE00000,AN00000
2015,Corporate business enterprises,141,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000
2015,Corporate business enterprises,141,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000
2015,Corporate business enterprises,141,Closing balance net worth,LE00000,B900000
2015,Corporate business enterprises,141,Closing balance total liabilities and net worth,LE00000,L000000
2015,Central bank,211,Closing balance total assets,LE00000,A000000
2015,Central bank,211,Financial assets Closing balance Total financial assets,LE00000,AFA0000
2015,Central bank,211,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100
2015,Central bank,211,Financial assets Closing balance currency and deposits,LE00000,AFA0200
2015,Central bank,211,Financial assets Closing balance debt securities,LE00000,AFA0300
2015,Central bank,211,Financial assets Closing balance loans,LE00000,AFA0400
2015,Central bank,211,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500
2015,Central bank,211,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600
2015,Central bank,211,Financial assets Closing balance financial derivatives,LE00000,AFA0700
2015,Central bank,211,Financial assets Closing balance other accounts receivable,LE00000,AFA0800
2015,Central bank,211,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000
2015,Central bank,211,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100
2015,Central bank,211,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200
2015,Central bank,211,Financial liabilities Closing balance debt securities,LE00000,AFL0300
2015,Central bank,211,Financial liabilities Closing balance loans,LE00000,AFL0400
2015,Central bank,211,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500
2015,Central bank,211,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600
2015,Central bank,211,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700
2015,Central bank,211,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800
2015,Central bank,211,Capital Account Closing balances Total non-financial assets,LE00000,AN00000
2015,Central bank,211,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000
2015,Central bank,211,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000
2015,Central bank,211,Closing balance net worth,LE00000,B900000
2015,Central bank,211,Closing balance total liabilities and net worth,LE00000,L000000
2015,Registered banks,221,Closing balance total assets,LE00000,A000000
2015,Registered banks,221,Financial assets Closing balance Total financial assets,LE00000,AFA0000
2015,Registered banks,221,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100
2015,Registered banks,221,Financial assets Closing balance currency and deposits,LE00000,AFA0200
2015,Registered banks,221,Financial assets Closing balance debt securities,LE00000,AFA0300
2015,Registered banks,221,Financial assets Closing balance loans,LE00000,AFA0400
2015,Registered banks,221,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500
2015,Registered banks,221,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600
2015,Registered banks,221,Financial assets Closing balance financial derivatives,LE00000,AFA0700
2015,Registered banks,221,Financial assets Closing balance other accounts receivable,LE00000,AFA0800
2015,Registered banks,221,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000
2015,Registered banks,221,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100
2015,Registered banks,221,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200
2015,Registered banks,221,Financial liabilities Closing balance debt securities,LE00000,AFL0300
2015,Registered banks,221,Financial liabilities Closing balance loans,LE00000,AFL0400
2015,Registered banks,221,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500
2015,Registered banks,221,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600
2015,Registered banks,221,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700
2015,Registered banks,221,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800
2015,Registered banks,221,Capital Account Closing balances Total non-financial assets,LE00000,AN00000
2015,Registered banks,221,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000
2015,Registered banks,221,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000
2015,Registered banks,221,Closing balance net worth,LE00000,B900000
2015,Registered banks,221,Closing balance total liabilities and net worth,LE00000,L000000
2015,Other depository institutions,222,Closing balance total assets,LE00000,A000000
2015,Other depository institutions,222,Financial assets Closing balance Total financial assets,LE00000,AFA0000
2015,Other depository institutions,222,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100
2015,Other depository institutions,222,Financial assets Closing balance currency and deposits,LE00000,AFA0200
2015,Other depository institutions,222,Financial assets Closing balance debt securities,LE00000,AFA0300
2015,Other depository institutions,222,Financial assets Closing balance loans,LE00000,AFA0400
2015,Other depository institutions,222,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500
2015,Other depository institutions,222,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600
2015,Other depository institutions,222,Financial assets Closing balance financial derivatives,LE00000,AFA0700
2015,Other depository institutions,222,Financial assets Closing balance other accounts receivable,LE00000,AFA0800
2015,Other depository institutions,222,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000
2015,Other depository institutions,222,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100
2015,Other depository institutions,222,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200
2015,Other depository institutions,222,Financial liabilities Closing balance debt securities,LE00000,AFL0300
2015,Other depository institutions,222,Financial liabilities Closing balance loans,LE00000,AFL0400
2015,Other depository institutions,222,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500
2015,Other depository institutions,222,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600
2015,Other depository institutions,222,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700
2015,Other depository institutions,222,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800
2015,Other depository institutions,222,Capital Account Closing balances Total non-financial assets,LE00000,AN00000
2015,Other depository institutions,222,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000
2015,Other depository institutions,222,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000
2015,Other depository institutions,222,Closing balance net worth,LE00000,B900000
2015,Other depository institutions,222,Closing balance total liabilities and net worth,LE00000,L000000
2015,Investment funds,231,Closing balance total assets,LE00000,A000000
2015,Investment funds,231,Financial assets Closing balance Total financial assets,LE00000,AFA0000
2015,Investment funds,231,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100
2015,Investment funds,231,Financial assets Closing balance currency and deposits,LE00000,AFA0200
2015,Investment funds,231,Financial assets Closing balance debt securities,LE00000,AFA0300
2015,Investment funds,231,Financial assets Closing balance loans,LE00000,AFA0400
2015,Investment funds,231,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500
2015,Investment funds,231,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600
2015,Investment funds,231,Financial assets Closing balance financial derivatives,LE00000,AFA0700
2015,Investment funds,231,Financial assets Closing balance other accounts receivable,LE00000,AFA0800
2015,Investment funds,231,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000
2015,Investment funds,231,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100
2015,Investment funds,231,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200
2015,Investment funds,231,Financial liabilities Closing balance debt securities,LE00000,AFL0300
2015,Investment funds,231,Financial liabilities Closing balance loans,LE00000,AFL0400
2015,Investment funds,231,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500
2015,Investment funds,231,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600
2015,Investment funds,231,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700
2015,Investment funds,231,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800
2015,Investment funds,231,Capital Account Closing balances Total non-financial assets,LE00000,AN00000
2015,Investment funds,231,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000
2015,Investment funds,231,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000
2015,Investment funds,231,Closing balance net worth,LE00000,B900000
2015,Investment funds,231,Closing balance total liabilities and net worth,LE00000,L000000
2015,Other financial intermediaries excluding insurance and pension funds,241,Closing balance total assets,LE00000,A000000
2015,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance Total financial assets,LE00000,AFA0000
2015,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100
2015,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance currency and deposits,LE00000,AFA0200
2015,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance debt securities,LE00000,AFA0300
2015,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance loans,LE00000,AFA0400
2015,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500
2015,Other financial intermediaries excluding insurance and pension funds,241,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600
2015,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance financial derivatives,LE00000,AFA0700
2015,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance other accounts receivable,LE00000,AFA0800
2015,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000
2015,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100
2015,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200
2015,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance debt securities,LE00000,AFL0300
2015,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance loans,LE00000,AFL0400
2015,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500
2015,Other financial intermediaries excluding insurance and pension funds,241,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600
2015,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700
2015,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800
2015,Other financial intermediaries excluding insurance and pension funds,241,Capital Account Closing balances Total non-financial assets,LE00000,AN00000
2015,Other financial intermediaries excluding insurance and pension funds,241,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000
2015,Other financial intermediaries excluding insurance and pension funds,241,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000
2015,Other financial intermediaries excluding insurance and pension funds,241,Closing balance net worth,LE00000,B900000
2015,Other financial intermediaries excluding insurance and pension funds,241,Closing balance total liabilities and net worth,LE00000,L000000
2015,Insurance corporations,251,Closing balance total assets,LE00000,A000000
2015,Insurance corporations,251,Financial assets Closing balance Total financial assets,LE00000,AFA0000
2015,Insurance corporations,251,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100
2015,Insurance corporations,251,Financial assets Closing balance currency and deposits,LE00000,AFA0200
2015,Insurance corporations,251,Financial assets Closing balance debt securities,LE00000,AFA0300
2015,Insurance corporations,251,Financial assets Closing balance loans,LE00000,AFA0400
2015,Insurance corporations,251,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500
2015,Insurance corporations,251,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600
2015,Insurance corporations,251,Financial assets Closing balance financial derivatives,LE00000,AFA0700
2015,Insurance corporations,251,Financial assets Closing balance other accounts receivable,LE00000,AFA0800
2015,Insurance corporations,251,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000
2015,Insurance corporations,251,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100
2015,Insurance corporations,251,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200
2015,Insurance corporations,251,Financial liabilities Closing balance debt securities,LE00000,AFL0300
2015,Insurance corporations,251,Financial liabilities Closing balance loans,LE00000,AFL0400
2015,Insurance corporations,251,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500
2015,Insurance corporations,251,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600
2015,Insurance corporations,251,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700
2015,Insurance corporations,251,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800
2015,Insurance corporations,251,Capital Account Closing balances Total non-financial assets,LE00000,AN00000
2015,Insurance corporations,251,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000
2015,Insurance corporations,251,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000
2015,Insurance corporations,251,Closing balance net worth,LE00000,B900000
2015,Insurance corporations,251,Closing balance total liabilities and net worth,LE00000,L000000
2015,Pension funds,261,Closing balance total assets,LE00000,A000000
2015,Pension funds,261,Financial assets Closing balance Total financial assets,LE00000,AFA0000
2015,Pension funds,261,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100
2015,Pension funds,261,Financial assets Closing balance currency and deposits,LE00000,AFA0200
2015,Pension funds,261,Financial assets Closing balance debt securities,LE00000,AFA0300
2015,Pension funds,261,Financial assets Closing balance loans,LE00000,AFA0400
2015,Pension funds,261,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500
2015,Pension funds,261,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600
2015,Pension funds,261,Financial assets Closing balance financial derivatives,LE00000,AFA0700
2015,Pension funds,261,Financial assets Closing balance other accounts receivable,LE00000,AFA0800
2015,Pension funds,261,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000
2015,Pension funds,261,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100
2015,Pension funds,261,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200
2015,Pension funds,261,Financial liabilities Closing balance debt securities,LE00000,AFL0300
2015,Pension funds,261,Financial liabilities Closing balance loans,LE00000,AFL0400
2015,Pension funds,261,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500
2015,Pension funds,261,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600
2015,Pension funds,261,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700
2015,Pension funds,261,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800
2015,Pension funds,261,Capital Account Closing balances Total non-financial assets,LE00000,AN00000
2015,Pension funds,261,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000
2015,Pension funds,261,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000
2015,Pension funds,261,Closing balance net worth,LE00000,B900000
2015,Pension funds,261,Closing balance total liabilities and net worth,LE00000,L000000
2015,Financial auxiliaries,270,Closing balance total assets,LE00000,A000000
2015,Financial auxiliaries,270,Financial assets Closing balance Total financial assets,LE00000,AFA0000
2015,Financial auxiliaries,270,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100
2015,Financial auxiliaries,270,Financial assets Closing balance currency and deposits,LE00000,AFA0200
2015,Financial auxiliaries,270,Financial assets Closing balance debt securities,LE00000,AFA0300
2015,Financial auxiliaries,270,Financial assets Closing balance loans,LE00000,AFA0400
2015,Financial auxiliaries,270,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500
2015,Financial auxiliaries,270,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600
2015,Financial auxiliaries,270,Financial assets Closing balance financial derivatives,LE00000,AFA0700
2015,Financial auxiliaries,270,Financial assets Closing balance other accounts receivable,LE00000,AFA0800
2015,Financial auxiliaries,270,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000
2015,Financial auxiliaries,270,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100
2015,Financial auxiliaries,270,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200
2015,Financial auxiliaries,270,Financial liabilities Closing balance debt securities,LE00000,AFL0300
2015,Financial auxiliaries,270,Financial liabilities Closing balance loans,LE00000,AFL0400
2015,Financial auxiliaries,270,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500
2015,Financial auxiliaries,270,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600
2015,Financial auxiliaries,270,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700
2015,Financial auxiliaries,270,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800
2015,Financial auxiliaries,270,Capital Account Closing balances Total non-financial assets,LE00000,AN00000
2015,Financial auxiliaries,270,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000
2015,Financial auxiliaries,270,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000
2015,Financial auxiliaries,270,Closing balance net worth,LE00000,B900000
2015,Financial auxiliaries,270,Closing balance total liabilities and net worth,LE00000,L000000
2015,Captive financial institutions,281,Closing balance total assets,LE00000,A000000
2015,Captive financial institutions,281,Financial assets Closing balance Total financial assets,LE00000,AFA0000
2015,Captive financial institutions,281,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100
2015,Captive financial institutions,281,Financial assets Closing balance currency and deposits,LE00000,AFA0200
2015,Captive financial institutions,281,Financial assets Closing balance debt securities,LE00000,AFA0300
2015,Captive financial institutions,281,Financial assets Closing balance loans,LE00000,AFA0400
2015,Captive financial institutions,281,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500
2015,Captive financial institutions,281,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600
2015,Captive financial institutions,281,Financial assets Closing balance financial derivatives,LE00000,AFA0700
2015,Captive financial institutions,281,Financial assets Closing balance other accounts receivable,LE00000,AFA0800
2015,Captive financial institutions,281,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000
2015,Captive financial institutions,281,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100
2015,Captive financial institutions,281,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200
2015,Captive financial institutions,281,Financial liabilities Closing balance debt securities,LE00000,AFL0300
2015,Captive financial institutions,281,Financial liabilities Closing balance loans,LE00000,AFL0400
2015,Captive financial institutions,281,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500
2015,Captive financial institutions,281,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600
2015,Captive financial institutions,281,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700
2015,Captive financial institutions,281,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800
2015,Captive financial institutions,281,Capital Account Closing balances Total non-financial assets,LE00000,AN00000
2015,Captive financial institutions,281,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000
2015,Captive financial institutions,281,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000
2015,Captive financial institutions,281,Closing balance net worth,LE00000,B900000
2015,Captive financial institutions,281,Closing balance total liabilities and net worth,LE00000,L000000
2015,Central government institutions excluding funded social insurance schemes,311,Closing balance total assets,LE00000,A000000
2015,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance Total financial assets,LE00000,AFA0000
2015,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100
2015,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance currency and deposits,LE00000,AFA0200
2015,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance debt securities,LE00000,AFA0300
2015,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance loans,LE00000,AFA0400
2015,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500
2015,Central government institutions excluding funded social insurance schemes,311,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600
2015,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance financial derivatives,LE00000,AFA0700
2015,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance other accounts receivable,LE00000,AFA0800
2015,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000
2015,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100
2015,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200
2015,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance debt securities,LE00000,AFL0300
2015,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance loans,LE00000,AFL0400
2015,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500
2015,Central government institutions excluding funded social insurance schemes,311,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600
2015,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700
2015,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800
2015,Central government institutions excluding funded social insurance schemes,311,Capital Account Closing balances Total non-financial assets,LE00000,AN00000
2015,Central government institutions excluding funded social insurance schemes,311,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000
2015,Central government institutions excluding funded social insurance schemes,311,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000
2015,Central government institutions excluding funded social insurance schemes,311,Closing balance net worth,LE00000,B900000
2015,Central government institutions excluding funded social insurance schemes,311,Closing balance total liabilities and net worth,LE00000,L000000
2015,Central government institutions funded social insurance schemes,312,Closing balance total assets,LE00000,A000000
2015,Central government institutions funded social insurance schemes,312,Financial assets Closing balance Total financial assets,LE00000,AFA0000
2015,Central government institutions funded social insurance schemes,312,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100
2015,Central government institutions funded social insurance schemes,312,Financial assets Closing balance currency and deposits,LE00000,AFA0200
2015,Central government institutions funded social insurance schemes,312,Financial assets Closing balance debt securities,LE00000,AFA0300
2015,Central government institutions funded social insurance schemes,312,Financial assets Closing balance loans,LE00000,AFA0400
2015,Central government institutions funded social insurance schemes,312,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500
2015,Central government institutions funded social insurance schemes,312,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600
2015,Central government institutions funded social insurance schemes,312,Financial assets Closing balance financial derivatives,LE00000,AFA0700
2015,Central government institutions funded social insurance schemes,312,Financial assets Closing balance other accounts receivable,LE00000,AFA0800
2015,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000
2015,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100
2015,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200
2015,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance debt securities,LE00000,AFL0300
2015,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance loans,LE00000,AFL0400
2015,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500
2015,Central government institutions funded social insurance schemes,312,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600
2015,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700
2015,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800
2015,Central government institutions funded social insurance schemes,312,Capital Account Closing balances Total non-financial assets,LE00000,AN00000
2015,Central government institutions funded social insurance schemes,312,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000
2015,Central government institutions funded social insurance schemes,312,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000
2015,Central government institutions funded social insurance schemes,312,Closing balance net worth,LE00000,B900000
2015,Central government institutions funded social insurance schemes,312,Closing balance total liabilities and net worth,LE00000,L000000
2015,Local government institutions,321,Closing balance total assets,LE00000,A000000
2015,Local government institutions,321,Financial assets Closing balance Total financial assets,LE00000,AFA0000
2015,Local government institutions,321,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100
2015,Local government institutions,321,Financial assets Closing balance currency and deposits,LE00000,AFA0200
2015,Local government institutions,321,Financial assets Closing balance debt securities,LE00000,AFA0300
2015,Local government institutions,321,Financial assets Closing balance loans,LE00000,AFA0400
2015,Local government institutions,321,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500
2015,Local government institutions,321,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600
2015,Local government institutions,321,Financial assets Closing balance financial derivatives,LE00000,AFA0700
2015,Local government institutions,321,Financial assets Closing balance other accounts receivable,LE00000,AFA0800
2015,Local government institutions,321,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000
2015,Local government institutions,321,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100
2015,Local government institutions,321,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200
2015,Local government institutions,321,Financial liabilities Closing balance debt securities,LE00000,AFL0300
2015,Local government institutions,321,Financial liabilities Closing balance loans,LE00000,AFL0400
2015,Local government institutions,321,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500
2015,Local government institutions,321,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600
2015,Local government institutions,321,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700
2015,Local government institutions,321,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800
